번호,시도,시군구,품목,부부 가족 경영규모,평균투자비(3년합계),연간운영비/년(운영),평균수입/년(부부인건비 포함),평균농지가격(3.3㎡)
702,충청북도,단양군,약용작물류 > 오미자 > 오미자(일반),10000(㎡),32000000(원),18000000(원),50000000(원),0(원)/0(원)
703,충청북도,단양군,조미채소류 > 마늘 > 마늘,10000(㎡),32000000(원),18000000(원),50000000(원),0(원)/0(원)
704,경기도,평택시,버섯류 > 느타리버섯 > 느타리버섯(일반),330(㎡),50000000(원),10000000(원),12000000(원),12500(원)/109420(원)
705,충청북도,음성군,버섯류 > 기타 > 버섯(시설),3000(㎡),300000000(원),60000000(원),80000000(원),300(원)/100000(원)
706,충청북도,음성군,기타화훼 > 화훼(시설) > 화훼(시설),1000(㎡),300000000(원),50000000(원),80000000(원),300(원)/100000(원)
707,경기도,평택시,과실류 > 체리 > 체리(일반),3300(㎡),20000000(원),12000000(원),16000000(원),12500(원)/109420(원)
708,경기도,여주시,미곡류 > 벼 > 일반계,33000(㎡),0(원),12000000(원),18000000(원),2000(원)/150000(원)
709,경기도,여주시,과채류 > 가지 > 시설가지,2000(㎡),36000000(원),14400000(원),21600000(원),2000(원)/150000(원)
710,경기도,여주시,서류 > 고구마 > 고구마,20000(㎡),0(원),30000000(원),21000000(원),2000(원)/150000(원)
711,경상남도,함안군,근채류 > 연근 > 연근(일반),33000(㎡),3063103(원),1683321(원),3063103(원),250000(원)/100000(원)
712,경상남도,함안군,양채류 > 파프리카 > 파프리카(일반),6600(㎡),44796676(원),27415199(원),44796676(원),250000(원)/100000(원)
713,경상남도,함양군,과실류 > 블루베리 > 블루베리(일반),3400(㎡),700000(원),700000(원),14600000(원),60000(원)/1000(원)
714,강원도,삼척시,산채류 > 곤드레나물 > 곤드레나물,5000(㎡),6000000(원),10500000(원),17050000(원),2000(원)/60000(원)
715,강원도,삼척시,엽경채류 > 상추 > 상추(시설),2000(㎡),6200000(원),10228000(원),8094000(원),2000(원)/60000(원)
716,강원도,삼척시,잡곡류 > 옥수수 > 찰옥수수,5000(㎡),2100000(원),2800000(원),4980000(원),2000(원)/60000(원)
717,강원도,삼척시,과일과채류 > 딸기 > 딸기(시설딸기),2000(㎡),17000000(원),22512000(원),24000000(원),2000(원)/60000(원)
718,강원도,횡성군,조미채소류 > 풋고추 > 청초(일반),1500(㎡),20000000(원),7000000(원),22000000(원),500(원)/100000(원)
719,강원도,횡성군,과일과채류 > 토마토 > 토마토(일반),2000(㎡),25000000(원),10000000(원),25000000(원),500(원)/100000(원)
720,충청북도,음성군,과일과채류 > 수박 > 수박(시설),10000(㎡),100000000(원),50000000(원),50000000(원),300(원)/100000(원)
721,충청북도,제천시,약용작물류 > 오미자 > 오미자(일반),5000(㎡),50000000(원),20000000(원),0(원),1000(원)/350000(원)
722,제주특별자치도,서귀포시,조미채소류 > 마늘 > 마늘,15000(㎡),45000000(원),15000000(원),50000000(원),0(원)/0(원)
723,제주특별자치도,서귀포시,근채류 > 당근 > 당근(일반),20000(㎡),45000000(원),15000000(원),50000000(원),0(원)/0(원)
724,경기도,평택시,과실류 > 블루베리 > 블루베리(일반),3300(㎡),25000000(원),18000000(원),20000000(원),12500(원)/109420(원)
725,경기도,파주시,미곡류 > 벼 > 일반계,49500(㎡),6201(원),2067(원),2511(원),2000(원)/170000(원)
726,강원도,횡성군,생축(가축)류 > 한우 > 한우,50(㎡),100000000(원),20000000(원),30000000(원),500(원)/100000(원)
727,경기도,연천군,콩류 > 콩 > 콩(일반),10000(㎡),10000000(원),3000000(원),6000000(원),1000(원)/150000(원)
728,경기도,연천군,잡곡류 > 율무 > 일반율무,10000(㎡),10000000(원),3000000(원),6000000(원),1000(원)/150000(원)
729,강원도,원주시,서류 > 고구마 > 고구마,3300(㎡),3600000(원),1000000(원),6000000(원),700(원)/100000(원)
730,강원도,양구군,과실류 > 사과 > 사과(기타),9166(㎡),44639000(원),30400000(원),76000000(원),1000(원)/60000(원)
731,강원도,원주시,과실류 > 배 > 배(기타),4500(㎡),11000000(원),2000000(원),20000000(원),700(원)/100000(원)
732,충청북도,음성군,과실류 > 복숭아 > 털복숭아(일반),10000(㎡),150000000(원),80000000(원),50000000(원),300(원)/100000(원)
733,강원도,원주시,과실류 > 복숭아 > 털복숭아(일반),4500(㎡),8000000(원),1500000(원),20000000(원),700(원)/100000(원)
734,경상남도,함안군,과실류 > 단감 > 감(기타),126500(㎡),3042337(원),1240438(원),3042337(원),250000(원)/100000(원)
735,전라남도,구례군,과실류 > 단감 > 감(기타),15000(㎡),60000000(원),20000000(원),40000000(원),1000(원)/100000(원)
736,전라남도,구례군,과실류 > 매실 > 매실(일반),20000(㎡),45000000(원),15000000(원),35000000(원),1000(원)/100000(원)
737,경상남도,함안군,과일과채류 > 수박 > 수박(일반),6600(㎡),13071421(원),4099026(원),8522170(원),250000(원)/100000(원)
738,강원도,양구군,과일과채류 > 수박 > 수박(일반),4800(㎡),94510000(원),16400000(원),41000000(원),1000(원)/60000(원)
739,강원도,양구군,과일과채류 > 메론 > 메론(기타),2600(㎡),51212000(원),9600000(원),24000000(원),1000(원)/60000(원)
740,경기도,연천군,과채류 > 오이 > 오이,2000(㎡),20000000(원),8000000(원),20000000(원),1000(원)/150000(원)
741,전라남도,구례군,과채류 > 오이 > 오이,2600(㎡),120000000(원),40000000(원),55000000(원),1000(원)/100000(원)
742,강원도,양구군,산채류 > 취나물 > 곰취나물,1975(㎡),38901000(원),6400000(원),16000000(원),1000(원)/60000(원)
743,강원도,횡성군,산채류 > 더덕 > 더덕(일반),5000(㎡),20000000(원),5000000(원),10000000(원),500(원)/100000(원)
744,충청북도,제천시,약용작물류 > 황기 > 황기(일반),12000(㎡),10000000(원),5000000(원),25000000(원),1000(원)/150000(원)
745,전라남도,구례군,약용작물류 > 산야초 > 산야초(일반),2000(㎡),30000000(원),10000000(원),50000000(원),1000(원)/100000(원)
746,경기도,파주시,약용작물류 > 인삼 > 인삼,15000(㎡),7000(원),3000(원),2500(원),2000(원)/170000(원)
747,경기도,파주시,콩류 > 콩 > 콩(일반),10000(㎡),5000(원),2500(원),1000(원),2000(원)/170000(원)
