번호,시도,시군구,품목,부부 가족 경영규모,평균투자비(3년합계),연간운영비/년(운영),평균수입/년(부부인건비 포함),평균농지가격(3.3㎡)
106,전라남도,장성군,과일과채류 > 딸기 > 딸기(기타),3200(㎡),82000000(원),39900000(원),34220000(원),1000(원)/50000(원)
107,전라남도,장성군,과실류 > 포도 > 포도(일반),5400(㎡),16700000(원),9163000(원),24154200(원),1000(원)/50000(원)
108,전라남도,장성군,과실류 > 사과 > 사과(기타),8870(㎡),36200000(원),31484000(원),38220000(원),1000(원)/50000(원)
109,전라남도,영광군,조미채소류 > 양파 > 양파(일반),6600(㎡),15237000(원),8072000(원),8541000(원),1000(원)/45000(원)
110,전라남도,영광군,과실류 > 블루베리 > 블루베리(일반),3534(㎡),9521445(원),7350513(원),4129139(원),2000(원)/40000(원)
111,전라남도,영광군,과일과채류 > 딸기 > 딸기(기타),4643(㎡),40326768(원),25956918(원),2650880(원),4225(원)/75000(원)
112,전라남도,함평군,버섯류 > 기타 > 버섯(기타),2666(㎡),2205000(원),735000(원),1041000(원),3000(원)/75000(원)
113,전라남도,함평군,조미채소류 > 풋고추 > 풋고추(기타),1070(㎡),7242000(원),2414000(원),5891000(원),3000(원)/75000(원)
114,전라남도,함평군,조미채소류 > 양파 > 양파(일반),6870(㎡),19377000(원),6459000(원),17943000(원),3000(원)/75000(원)
115,전라남도,함평군,조미채소류 > 마늘 > 마늘,2918(㎡),10362000(원),3454000(원),8528000(원),3000(원)/75000(원)
116,전라남도,무안군,서류 > 고구마 > 고구마,10000(㎡),11161000(원),11086000(원),25404000(원),2000(원)/80000(원)
117,전라남도,무안군,조미채소류 > 마늘 > 마늘,5000(㎡),11862000(원),16378000(원),28998000(원),2000(원)/80000(원)
118,전라남도,무안군,미곡류 > 벼 > 벼(기타),20000(㎡),8535000(원),9497000(원),19063000(원),1000(원)/50000(원)
119,전라남도,영암군,과실류 > 배 > 배(기타),14500(㎡),110185000(원),73173000(원),116071000(원),0(원)/0(원)
120,전라남도,영암군,과실류 > 무화과 > 무화과(일반),5600(㎡),46581000(원),41624000(원),42800000(원),0(원)/0(원)
121,전라남도,영암군,서류 > 고구마 > 고구마,34200(㎡),82205000(원),47575000(원),83077000(원),1500(원)/70000(원)
122,전라남도,영암군,미곡류 > 쌀 > 쌀(기타),18300(㎡),18144000(원),9064000(원),18000000(원),1000(원)/60000(원)
123,전라남도,영암군,생축(가축)류 > 한우 > 한우,37(㎡),185692000(원),62250000(원),94279000(원),0(원)/0(원)
124,전라남도,해남군,과실류 > 무화과 > 무화과(일반),4300(㎡),33384000(원),11128000(원),25936000(원),0(원)/0(원)
125,전라남도,해남군,과채류 > 호박 > 밤호박,2000(㎡),1944000(원),648000(원),15052000(원),0(원)/0(원)
126,전라남도,해남군,엽경채류 > 배추 > 배추,13601(㎡),50289000(원),16763000(원),16763000(원),0(원)/0(원)
127,전라남도,해남군,서류 > 고구마 > 고구마,33900(㎡),143280000(원),47760000(원),71638000(원),0(원)/0(원)
128,전라남도,해남군,미곡류 > 쌀 > 쌀(기타),2140000(㎡),28665000(원),9555000(원),14218000(원),0(원)/0(원)
129,전라남도,화순군,생축(가축)류 > 젖소 > 기타 젖소,0(㎡),18339000(원),6113000(원),10056000(원),1188(원)/100000(원)
130,전라남도,화순군,과일과채류 > 토마토 > 토마토(일반),10(㎡),32733000(원),10911000(원),17456000(원),1188(원)/100000(원)
131,전라남도,화순군,생축(가축)류 > 돼지류 > 기타,0(㎡),927000(원),309000(원),371000(원),1188(원)/100000(원)
132,전라남도,화순군,생축(가축)류 > 한우 > 한우,0(㎡),5049000(원),4683000(원),2762000(원),1188(원)/100000(원)
133,전라남도,화순군,미곡류 > 벼 > 일반계,10(㎡),1269000(원),423000(원),983000(원),1188(원)/100000(원)
134,전라남도,보성군,과일과채류 > 방울토마토 > 방울토마토,4000(㎡),30000000(원),12145000(원),19839000(원),0(원)/53000(원)
135,전라남도,보성군,과일과채류 > 딸기 > 딸기(기타),4500(㎡),30000000(원),12364000(원),24138000(원),0(원)/53000(원)
136,전라남도,보성군,과실류 > 참다래(키위) > 참다래(키위)일반,3500(㎡),30000000(원),2140000(원),5720000(원),0(원)/52000(원)
137,전라남도,고흥군,과실류 > 참다래(키위) > 참다래(키위)일반,10000(㎡),7230000(원),18505300(원),29363400(원),1050(원)/25000(원)
138,전라남도,고흥군,산채류 > 취나물 > 취나물(일반),20000(㎡),1800000(원),21450300(원),42336400(원),250(원)/15200(원)
139,전라남도,고흥군,과일과채류 > 토마토 > 토마토(일반),2500(㎡),17780000(원),27845200(원),35080200(원),2250(원)/30000(원)
140,전라남도,고흥군,과실류 > 유자 > 유자(일반),20000(㎡),20710000(원),39948540(원),36617280(원),1200(원)/30000(원)
141,전라남도,고흥군,조미채소류 > 풋고추 > 풋고추(기타),10000(㎡),1738000(원),29008980(원),28873080(원),250(원)/15200(원)
142,전라남도,고흥군,과채류 > 오이 > 기타,2500(㎡),2720000(원),40212120(원),38447580(원),2540(원)/30000(원)
143,전라남도,고흥군,조미채소류 > 양파 > 양파(일반),50000(㎡),3720000(원),79225700(원),86875900(원),250(원)/15200(원)
144,전라남도,고흥군,조미채소류 > 마늘 > 마늘,50000(㎡),5730000(원),88482900(원),85943950(원),250(원)/15200(원)
145,전라남도,고흥군,생축(가축)류 > 한우 > 한우,80(㎡),23070000(원),125230000(원),78090250(원),21300(원)/100000(원)
146,전라남도,고흥군,미곡류 > 벼 > 벼(기타),200000(㎡),57800000(원),89263000(원),97205900(원),360(원)/22000(원)
147,전라남도,구례군,과채류 > 호박 > 애호박,3300(㎡),150000000(원),30000000(원),100000000(원),27000(원)/150000(원)
148,전라남도,구례군,과채류 > 오이 > 오이,3300(㎡),150000000(원),50000000(원),100000000(원),27000(원)/150000(원)
149,전라남도,구례군,기타동물생산물 > 꿀벌 > 양봉꿀,80(㎡),35000000(원),25000000(원),70000000(원),27000(원)/150000(원)
150,전라남도,구례군,버섯류 > 표고버섯 > 표고버섯(일반),2310(㎡),140000000(원),1000000(원),45000000(원),27000(원)/150000(원)
151,전라남도,곡성군,과실류 > 단감 > 감(기타),3902(㎡),20225708(원),14629770(원),22453362(원),0(원)/1974(원)
152,전라남도,곡성군,과실류 > 블루베리 > 블루베리(일반),3305(㎡),20618376(원),15807775(원),38257905(원),3584(원)/4994(원)
153,전라남도,곡성군,과일과채류 > 메론 > 메론(기타),1197(㎡),26627599(원),30557236(원),28716955(원),5612(원)/5000(원)
154,전라남도,곡성군,과일과채류 > 딸기 > 딸기(기타),1839(㎡),45658363(원),27457293(원),39537496(원),1939(원)/0(원)
155,전라남도,담양군,과실류 > 포도 > 포도(일반),1983(㎡),45000000(원),4000000(원),22000000(원),6500(원)/230000(원)
156,전라남도,담양군,과일과채류 > 딸기 > 딸기(기타),2644(㎡),80000000(원),20000000(원),60000000(원),8000(원)/200000(원)
157,전라남도,담양군,과일과채류 > 메론 > 메론(기타),3300(㎡),15000000(원),7000000(원),15000000(원),7500(원)/200000(원)
158,전라남도,담양군,과일과채류 > 방울토마토 > 방울토마토,3960(㎡),90000000(원),30000000(원),60000000(원),7500(원)/200000(원)
159,전라남도,담양군,과일과채류 > 토마토 > 토마토(일반),1983(㎡),50000000(원),7780000(원),26000000(원),7000(원)/170000(원)
160,전라남도,담양군,과일과채류 > 딸기 > 딸기(기타),2644(㎡),80000000(원),20000000(원),60000000(원),8000(원)/200000(원)
161,전라남도,광양시,과일과채류 > 토마토 > 토마토(시설),6000(㎡),0(원),34000000(원),68748000(원),300(원)/45000(원)
162,전라남도,광양시,과채류 > 호박 > 애호박(시설),3960(㎡),0(원),30500000(원),50140000(원),300(원)/45000(원)
163,전라남도,나주시,과채류 > 호박 > 호박(시설),4000(㎡),140000000(원),47227000(원),81734000(원),1000(원)/50000(원)
164,전라남도,나주시,엽경채류 > 기타 > 쌈채소,2000(㎡),3000000(원),10717000(원),22217000(원),1000(원)/50000(원)
165,전라남도,나주시,과일과채류 > 메론 > 메론(기타),5000(㎡),125000000(원),19581000(원),45682000(원),1000(원)/50000(원)
166,전라남도,나주시,과일과채류 > 딸기 > 딸기(기타),2000(㎡),7000000(원),27744000(원),54432000(원),1000(원)/50000(원)
167,전라남도,여수시,엽경채류 > 쑥 > 쑥(일반),2566(㎡),5280000(원),1760000(원),8759000(원),10000(원)/55000(원)
168,전라남도,여수시,약용작물류 > 방풍 > 방풍(기타),2310(㎡),5000000(원),1000000(원),2400000(원),3000(원)/200000(원)
169,전라남도,여수시,엽경채류 > 갓 > 돌산갓,2907(㎡),12000000(원),3242000(원),25045000(원),3000(원)/300000(원)
170,전라북도,진안군,약용작물류 > 오미자 > 오미자(일반),1000(㎡),6000000(원),1000000(원),7000000(원),30000(원)/100000(원)
171,전라북도,진안군,과실류 > 사과 > 사과(기타),5000(㎡),30000000(원),10000000(원),23000000(원),30000(원)/100000(원)
172,전라북도,진안군,조미채소류 > 풋고추 > 풋고추(기타),1000(㎡),2000000(원),900000(원),5000000(원),30000(원)/100000(원)
173,전라북도,진안군,약용작물류 > 인삼 > 인삼,3000(㎡),40000000(원),15000000(원),30000000(원),30000(원)/100000(원)
174,전라북도,정읍시,과실류 > 배 > 배(기타),10000(㎡),8100000(원),4400000(원),2970000(원),30000(원)/120000(원)
175,전라북도,정읍시,과일과채류 > 수박 > 수박(일반),6500(㎡),7500000(원),4110000(원),3220000(원),30000(원)/150000(원)
176,전라북도,정읍시,과실류 > 만감 > 기타,3000(㎡),23000000(원),7930000(원),4560000(원),30000(원)/150000(원)
177,전라북도,장수군,생축(가축)류 > 한우 > 한우,50(㎡),291000000(원),86000000(원),112500000(원),12000(원)/4500000(원)
178,전라북도,장수군,과일과채류 > 토마토 > 토마토(일반),3000(㎡),500000000(원),50000000(원),150000000(원),8000(원)/90000(원)
179,전라북도,장수군,약용작물류 > 오미자 > 오미자(일반),3000(㎡),15000000(원),15000000(원),10000000(원),5000(원)/80000(원)
180,전라북도,장수군,과실류 > 사과 > 사과(기타),10000(㎡),30000000(원),2000000(원),20000000(원),5000(원)/100000(원)
181,전라북도,임실군,과일과채류 > 토마토 > 토마토(일반),3300(㎡),70000000(원),20000000(원),40000000(원),1000(원)/50000(원)
182,전라북도,임실군,과실류 > 블루베리 > 블루베리(일반),3300(㎡),30000000(원),20000000(원),20000000(원),1000(원)/50000(원)
183,전라북도,임실군,버섯류 > 표고버섯 > 표고버섯(일반),15000(㎡),50000000(원),20000000(원),30000000(원),1000(원)/50000(원)
184,전라북도,익산시,버섯류 > 표고버섯 > 표고버섯(일반),2960(㎡),150000000(원),30000000(원),60000000(원),1600(원)/70000(원)
185,전라북도,익산시,엽경채류 > 상추 > 상추(기타),3960(㎡),120000000(원),20000000(원),50000000(원),1600(원)/70000(원)
186,전라북도,익산시,과일과채류 > 딸기 > 딸기(기타),3960(㎡),150000000(원),30000000(원),70000000(원),1600(원)/70000(원)
187,전라북도,완주군,과실류 > 곶감 > 곶감(일반),10000(㎡),50000000(원),20000000(원),50000000(원),1320(원)/150000(원)
188,전라북도,완주군,조미채소류 > 양파 > 기타,5000(㎡),20000000(원),10000000(원),30000000(원),1320(원)/150000(원)
189,전라북도,완주군,조미채소류 > 생강 > 생강(일반),7000(㎡),30000000(원),20000000(원),40000000(원),1320(원)/150000(원)
190,전라북도,완주군,과일과채류 > 딸기 > 딸기(기타),3000(㎡),100000000(원),40000000(원),80000000(원),1320(원)/150000(원)
191,전라북도,순창군,과일과채류 > 딸기 > 딸기(기타),2000(㎡),37600000(원),12000000(원),65000000(원),1500(원)/80000(원)
192,전라북도,순창군,과실류 > 블루베리 > 블루베리(일반),5000(㎡),54000000(원),18000000(원),15000000(원),1500(원)/80000(원)
193,전라북도,순창군,양채류 > 기타 > 쌈채,2000(㎡),29700000(원),9900000(원),24200000(원),1500(원)/80000(원)
194,전라북도,순창군,산채류 > 두릅 > 두릅(일반),6000(㎡),2500000(원),780000(원),500000(원),500(원)/30000(원)
195,전라북도,부안군,과실류 > 오디 > 오디(일반),2000(㎡),2100000(원),3500000(원),14000000(원),2000(원)/70000(원)
196,전라북도,부안군,서류 > 감자 > 감자(기타),11000(㎡),3500000(원),1500000(원),14300000(원),2000(원)/70000(원)
197,전라북도,부안군,과일과채류 > 수박 > 수박(일반),3000(㎡),6000000(원),2500000(원),22000000(원),2000(원)/70000(원)
198,전라북도,부안군,엽경채류 > 배추 > 기타,6400(㎡),4000000(원),1900000(원),7800000(원),2000(원)/70000(원)
199,전라북도,무주군,약용작물류 > 인삼 > 인삼,1500(㎡),8600000(원),5350000(원),24000000(원),1000(원)/150000(원)
200,전라북도,무주군,과실류 > 포도 > 포도(일반),2000(㎡),5700000(원),3370000(원),19540000(원),1000(원)/150000(원)
201,전라북도,무주군,과실류 > 사과 > 사과(기타),8200(㎡),10450000(원),5560000(원),34000000(원),1000(원)/150000(원)
202,전라북도,남원시,엽경채류 > 상추 > 상추(기타),1980(㎡),50000000(원),20000000(원),30000000(원),900(원)/100000(원)
203,전라북도,남원시,과실류 > 포도 > 포도(일반),5000(㎡),80000000(원),30000000(원),35000000(원),900(원)/100000(원)
204,전라북도,남원시,과일과채류 > 딸기 > 딸기(기타),1980(㎡),50000000(원),20000000(원),30000000(원),900(원)/100000(원)
205,전라북도,김제시,미곡류 > 벼 > 벼(기타),39600(㎡),0(원),16500000(원),40000000(원),1800(원)/50000(원)
206,전라북도,김제시,과실류 > 포도 > 포도(시설),3300(㎡),100000000(원),21461000(원),42292000(원),1800(원)/50000(원)
207,전라북도,김제시,조미채소류 > 풋고추 > 고추(시설),3300(㎡),100000000(원),39194000(원),72530000(원),1800(원)/50000(원)
208,전라북도,김제시,과일과채류 > 딸기 > 딸기(시설딸기),3300(㎡),250000000(원),50000000(원),100000000(원),1800(원)/50000(원)
209,전라북도,고창군,특용작물류 > 땅콩 > 땅콩(일반),3300(㎡),6100000(원),2050000(원),10000000(원),2000(원)/50000(원)
210,전라북도,고창군,조미채소류 > 풋고추 > 풋고추(기타),3300(㎡),2900000(원),1000000(원),12000000(원),2000(원)/50000(원)
211,전라북도,고창군,과일과채류 > 수박 > 수박(일반),3300(㎡),6700000(원),2300000(원),25000000(원),2000(원)/50000(원)
212,전라북도,고창군,약용작물류 > 복분자 > 복분자(일반),1980(㎡),3780000(원),1260000(원),12000000(원),2000(원)/50000(원)
213,전라북도,군산시,미곡류 > 쌀 > 쌀(기타),3600(㎡),15000000(원),5000000(원),20000000(원),1500(원)/100000(원)
214,충청남도,태안군,서류 > 고구마 > 고구마(기타),3300(㎡),27560000(원),11090000(원),18100000(원),2000(원)/200000(원)
215,충청남도,태안군,조미채소류 > 마늘 > 마늘,6600(㎡),27900000(원),86100000(원),15420000(원),2000(원)/200000(원)
216,충청남도,태안군,조미채소류 > 풋고추 > 풋고추(기타),3900(㎡),18000000(원),19300000(원),16300000(원),2000(원)/200000(원)
217,충청남도,예산군,조미채소류 > 쪽파 > 쪽파(시설),3960(㎡),50000000(원),18000000(원),35000000(원),1000(원)/150000(원)
218,충청남도,예산군,과일과채류 > 수박 > 수박(시설),3960(㎡),50000000(원),18000000(원),21000000(원),1000(원)/150000(원)
219,충청남도,예산군,과실류 > 블루베리 > 블루베리(일반),1650(㎡),15000000(원),15000000(원),10000000(원),1000(원)/150000(원)
220,충청남도,예산군,과실류 > 사과 > 사과(기타),4500(㎡),30000000(원),18000000(원),30000000(원),1000(원)/150000(원)
221,충청남도,홍성군,과일과채류 > 딸기 > 딸기(기타),1000(㎡),80000000(원),15000000(원),50000000(원),1200(원)/300000(원)
222,충청남도,홍성군,미곡류 > 벼 > 벼(기타),8000(㎡),10000000(원),10000000(원),15000000(원),900(원)/60000(원)
223,충청남도,홍성군,기타 > 기타 > 친환경 제철 꾸러미,2000(㎡),30000000(원),10000000(원),20000000(원),1200(원)/200000(원)
224,충청남도,청양군,버섯류 > 표고버섯 > 기타,1000(㎡),30000000(원),20000000(원),32000000(원),1200(원)/120000(원)
225,충청남도,청양군,과일과채류 > 토마토 > 토마토(시설),2700(㎡),20000000(원),8000000(원),29000000(원),1000(원)/120000(원)
226,충청남도,청양군,약용작물류 > 구기자 > 시설구기자,1320(㎡),6000000(원),2400000(원),12000000(원),800(원)/100000(원)
227,충청남도,청양군,조미채소류 > 풋고추 > 고추(시설),2700(㎡),9000000(원),4500000(원),18000000(원),750(원)/100000(원)
228,충청남도,서천군,콩류 > 강낭콩 > 덩굴강낭콩(시설),2640(㎡),55000000(원),3000000(원),25000000(원),70000(원)/100000(원)
229,충청남도,서천군,서류 > 감자 > 감자(시설),2640(㎡),55000000(원),3000000(원),22600000(원),0(원)/70000(원)
230,충청남도,서천군,양채류 > 기타 > 쌈채(시설),1980(㎡),42000000(원),3000000(원),16000000(원),0(원)/70000(원)
231,충청남도,서천군,조미채소류 > 풋고추 > 고추(시설),1980(㎡),45000000(원),6000000(원),17000000(원),0(원)/70000(원)
232,충청남도,부여군,수실류 > 밤 > 밤(일반),10000(㎡),60000000(원),12000000(원),10000000(원),2000(원)/120000(원)
233,충청남도,부여군,과일과채류 > 딸기 > 딸기(기타),1200(㎡),150000000(원),30000000(원),12600000(원),2000(원)/120000(원)
234,충청남도,부여군,과일과채류 > 수박 > 수박(일반),3300(㎡),450000000(원),100000000(원),30000000(원),2000(원)/120000(원)
235,충청남도,부여군,과일과채류 > 토마토 > 토마토(일반),3300(㎡),450000000(원),100000000(원),30000000(원),2000(원)/120000(원)
236,충청남도,금산군,생축(가축)류 > 돼지류 > 기타,0(㎡),0(원),0(원),13039000(원),0(원)/0(원)
237,충청남도,금산군,생축(가축)류 > 한우 > 한우,0(㎡),0(원),0(원),16293000(원),0(원)/0(원)
238,충청남도,금산군,조미채소류 > 풋고추 > 풋고추(기타),0(㎡),0(원),0(원),16905000(원),0(원)/0(원)
239,충청남도,금산군,특용작물류 > 들깨 > 잎들깨,0(㎡),0(원),0(원),52000000(원),0(원)/0(원)
240,충청남도,금산군,약용작물류 > 인삼 > 인삼,0(㎡),0(원),0(원),73500000(원),0(원)/0(원)
241,충청남도,당진시,과채류 > 호박 > 단호박,3960(㎡),15000000(원),3000000(원),14000000(원),0(원)/0(원)
242,충청남도,당진시,서류 > 고구마 > 고구마(기타),19800(㎡),53160000(원),17720000(원),28000000(원),0(원)/0(원)
243,충청남도,당진시,조미채소류 > 꽈리고추 > 꽈리고추(일반),2970(㎡),90025000(원),25000000(원),34000000(원),0(원)/0(원)
244,충청남도,당진시,미곡류 > 쌀 > 쌀(기타),69300(㎡),86100000(원),28700000(원),42700000(원),0(원)/0(원)
245,충청남도,계룡시,엽경채류 > 상추 > 상추(기타),1320(㎡),55000000(원),4500000(원),18000000(원),5000(원)/400000(원)
246,충청남도,계룡시,과일과채류 > 방울토마토 > 방울토마토,2640(㎡),82000000(원),12000000(원),45000000(원),5000(원)/400000(원)
247,충청남도,계룡시,과일과채류 > 딸기 > 딸기(기타),1650(㎡),57000000(원),15000000(원),50000000(원),5000(원)/400000(원)
248,충청남도,논산시,과일과채류 > 토마토 > 토마토(일반),5000(㎡),300000000(원),80000000(원),120000000(원),2500(원)/130000(원)
249,충청남도,논산시,특용작물류 > 들깨 > 잎들깨,1000(㎡),100000000(원),20000000(원),40000000(원),2500(원)/130000(원)
250,충청남도,논산시,엽경채류 > 상추 > 상추(기타),6000(㎡),200000000(원),30000000(원),60000000(원),2500(원)/130000(원)
251,충청남도,논산시,과일과채류 > 딸기 > 딸기(기타),2000(㎡),200000000(원),30000000(원),60000000(원),2500(원)/130000(원)
252,충청남도,서산시,조미채소류 > 풋고추 > 풋고추(기타),990(㎡),2000000(원),2000000(원),11880000(원),1000(원)/10000(원)
253,충청남도,서산시,조미채소류 > 마늘 > 기타,3300(㎡),4000000(원),3000000(원),26400000(원),1000(원)/10000(원)
254,충청남도,서산시,조미채소류 > 생강 > 생강(일반),3300(㎡),6000000(원),5000000(원),33000000(원),1000(원)/100000(원)
255,충청남도,보령시,과일과채류 > 방울토마토 > 방울토마토,2644(㎡),100000000(원),40000000(원),55000000(원),800(원)/50000(원)
256,충청남도,보령시,서류 > 고구마 > 고구마(기타),9900(㎡),50000000(원),20000000(원),47000000(원),800(원)/50000(원)
257,충청남도,보령시,과실류 > 포도 > 포도(일반),8250(㎡),100000000(원),20000000(원),20000000(원),800(원)/50000(원)
258,충청남도,보령시,버섯류 > 양송이 > 양송이(일반),792(㎡),400000000(원),120000000(원),250000000(원),800(원)/50000(원)
259,충청남도,공주시,과실류 > 복숭아 > 털복숭아(일반),11000(㎡),12000000(원),35000000(원),30000000(원),0(원)/25000(원)
260,충청남도,공주시,과실류 > 참다래(키위) > 기타,10000(㎡),11000000(원),20000000(원),15000000(원),0(원)/30000(원)
261,충청남도,공주시,수실류 > 밤 > 밤(일반),16000(㎡),14000000(원),4500000(원),6500000(원),0(원)/20000(원)
262,충청남도,공주시,버섯류 > 표고버섯 > 표고버섯(일반),7000(㎡),90000000(원),15000000(원),20000000(원),0(원)/200000(원)
263,충청남도,천안시,과일과채류 > 메론 > 메론(기타),4000(㎡),72000000(원),19000000(원),20000000(원),1500(원)/200000(원)
264,충청남도,천안시,과채류 > 오이 > 오이,2000(㎡),61000000(원),12500000(원),16000000(원),1500(원)/200000(원)
265,충청남도,천안시,과실류 > 포도 > 포도(일반),6000(㎡),76000000(원),23800000(원),18000000(원),1500(원)/200000(원)
266,충청남도,천안시,과실류 > 배 > 배(기타),10000(㎡),113000000(원),25200000(원),34000000(원),1500(원)/200000(원)
267,충청북도,단양군,산채류 > 산마늘 > 산마늘(일반),2025(㎡),2081500(원),1937000(원),6193990(원),0(원)/0(원)
268,충청북도,음성군,버섯류 > 기타 > 버섯(시설),3000(㎡),300000000(원),60000000(원),80000000(원),300(원)/100000(원)
269,충청북도,음성군,기타화훼 > 화훼(시설) > 화훼(시설),1000(㎡),300000000(원),50000000(원),80000000(원),300(원)/100000(원)
270,충청북도,음성군,과실류 > 복숭아 > 털복숭아(일반),10000(㎡),150000000(원),80000000(원),50000000(원),300(원)/100000(원)
271,충청북도,음성군,과일과채류 > 수박 > 수박(일반),10000(㎡),100000000(원),50000000(원),50000000(원),300(원)/100000(원)
272,충청북도,괴산군,엽경채류 > 배추 > 배추,3000(㎡),5000000(원),2000000(원),20000000(원),1500(원)/150000(원)
273,충청북도,괴산군,잡곡류 > 옥수수 > 옥수수(기타),2100(㎡),2500000(원),1700000(원),6000000(원),1500(원)/150000(원)
274,충청북도,괴산군,서류 > 감자 > 감자(기타),1800(㎡),3000000(원),1500000(원),6000000(원),1500(원)/150000(원)
275,충청북도,진천군,과일과채류 > 수박 > 수박(일반),6840(㎡),120000000(원),24000000(원),72000000(원),9405(원)/120000(원)
276,충청북도,진천군,과일과채류 > 방울토마토 > 방울토마토,3420(㎡),70000000(원),35000000(원),80000000(원),9405(원)/120000(원)
277,충청북도,진천군,과채류 > 오이 > 오이,4560(㎡),112000000(원),36000000(원),120000000(원),9405(원)/120000(원)
278,충청북도,증평군,엽경채류 > 배추 > 절임배추,0(㎡),0(원),2000000(원),4000000(원),50000(원)/100000(원)
279,충청북도,증평군,기타 > 시설하우스 > 시설채소,3000(㎡),0(원),4000000(원),7000000(원),50000(원)/100000(원)
280,충청북도,증평군,생축(가축)류 > 돼지류 > 홍삼포크,1100(㎡),0(원),40000000(원),50000000(원),50000(원)/100000(원)
281,충청북도,증평군,약용작물류 > 인삼 > 인삼,20000(㎡),0(원),37000000(원),44000000(원),50000(원)/100000(원)
282,충청북도,영동군,과실류 > 곶감 > 곶감(일반),3500(㎡),23000000(원),12000000(원),24000000(원),2000(원)/10000(원)
283,충청북도,영동군,과실류 > 사과 > 사과(기타),7800(㎡),26000000(원),13000000(원),35000000(원),2000(원)/10000(원)
284,충청북도,영동군,과실류 > 복숭아 > 털복숭아(일반),4800(㎡),20000000(원),8000000(원),20000000(원),2000(원)/10000(원)
285,충청북도,영동군,과실류 > 포도 > 포도(일반),4800(㎡),21000000(원),8000000(원),20000000(원),2000(원)/10000(원)
286,충청북도,옥천군,목재류 > 묘목 > 묘목,42975(㎡),100000000(원),100000000(원),70000000(원),2000(원)/80000(원)
287,충청북도,옥천군,약용작물류 > 인삼 > 인삼,10797(㎡),59559280(원),29779640(원),12476900(원),2000(원)/80000(원)
288,충청북도,옥천군,과실류 > 포도 > 포도(시설),5545(㎡),36439060(원),18219530(원),18925760(원),2000(원)/80000(원)
289,충청북도,옥천군,과실류 > 복숭아 > 털복숭아(일반),3760(㎡),14808229(원),7404110(원),11330372(원),2000(원)/80000(원)
290,충청북도,보은군,생축(가축)류 > 한우 > 한우,50(㎡),150000000(원),50000000(원),80000000(원),700(원)/50000(원)
291,충청북도,보은군,과실류 > 사과 > 사과(기타),10000(㎡),70000000(원),22430000(원),49000000(원),700(원)/50000(원)
292,충청북도,보은군,수실류 > 대추 > 대추(일반),10000(㎡),150000000(원),8000000(원),40000000(원),700(원)/50000(원)
293,충청북도,제천시,양채류 > 기타 > 양채류(기타),10000(㎡),30000000(원),8000000(원),30000000(원),700(원)/50000(원)
294,충청북도,제천시,과실류 > 사과 > 사과(기타),10000(㎡),60000000(원),20000000(원),50000000(원),700(원)/50000(원)
295,충청북도,충주시,과일과채류 > 딸기 > 딸기(기타),2640(㎡),200000000(원),40000000(원),410000000(원),1000(원)/100000(원)
296,충청북도,충주시,수실류 > 밤 > 밤(일반),40000(㎡),95000000(원),18000000(원),33000000(원),1000(원)/100000(원)
297,충청북도,충주시,과실류 > 복숭아 > 기타,10000(㎡),120000000(원),17000000(원),28000000(원),1000(원)/100000(원)
298,충청북도,충주시,과실류 > 사과 > 사과(기타),10000(㎡),200000000(원),20000000(원),30000000(원),1000(원)/100000(원)
299,충청북도,청주시,버섯류 > 느타리버섯 > 느타리버섯(일반),4200(㎡),54600000(원),58800000(원),200000000(원),20000(원)/150000(원)
300,충청북도,청주시,과일과채류 > 수박 > 수박(일반),8400(㎡),18000000(원),20748000(원),150000000(원),20000(원)/150000(원)
301,충청북도,청주시,과일과채류 > 딸기 > 딸기(기타),5800(㎡),49091000(원),54386000(원),150000000(원),20000(원)/150000(원)
302,충청북도,청주시,과채류 > 호박 > 애호박(시설),10000(㎡),50170000(원),55770000(원),100000000(원),20000(원)/150000(원)
303,강원도,횡성군,조미채소류 > 풋고추 > 풋고추(기타),1500(㎡),20000000(원),7000000(원),22000000(원),500(원)/100000(원)
304,강원도,횡성군,과일과채류 > 토마토 > 토마토(일반),2000(㎡),25000000(원),10000000(원),25000000(원),500(원)/100000(원)
305,강원도,횡성군,생축(가축)류 > 한우 > 한우,50(㎡),100000000(원),20000000(원),30000000(원),500(원)/100000(원)
306,강원도,횡성군,산채류 > 더덕 > 더덕(일반),5000(㎡),20000000(원),5000000(원),10000000(원),500(원)/100000(원)
307,강원도,홍천군,산채류 > 산마늘 > 산마늘(일반),3000(㎡),27000000(원),3600000(원),13500000(원),1000(원)/150000(원)
308,강원도,홍천군,약용작물류 > 구기자 > 구기자(일반),1000(㎡),6000000(원),4000000(원),10000000(원),1000(원)/150000(원)
309,강원도,홍천군,약용작물류 > 오미자 > 오미자(일반),3000(㎡),20000000(원),4500000(원),11000000(원),1000(원)/150000(원)
310,강원도,홍천군,과실류 > 복숭아 > 털복숭아(일반),5000(㎡),7500000(원),5000000(원),25000000(원),1000(원)/150000(원)
311,강원도,홍천군,과실류 > 사과 > 사과(기타),5000(㎡),37000000(원),12500000(원),30000000(원),1000(원)/150000(원)
312,강원도,평창군,산채류 > 기타 > 산채류(기타),5000(㎡),50000000(원),5000000(원),25000000(원),0(원)/0(원)
313,강원도,평창군,과실류 > 사과 > 사과(기타),10000(㎡),100000000(원),10000000(원),50000000(원),0(원)/0(원)
